cpu_user,cpu_system,cpu_idle,cpu_io,mem_total,mem_used,mem_available,mem_used_percent,mem_cached,swap_total,swap_used,swap_free,swap_used_percent,disk_total,disk_used,disk_free,disk_used_percent,diskio_read,diskio_write,diskio_time,diskio_ms,bytes_recv,bytes_sent,packets_recv,packets_sent,err_in,err_out,drop_in,drop_out,load1,load5,load15,process_thread,process_total,process_running,process_blocked,process_zombies,system_label,model_tahmini
11.4285714285702,2.040816326530414,86.53061224489315,0.0,16679075840,6473474048,9757265920,38.81194683745739,4610457600,4000313344,0,4000313344,0.0,50761113600,4968013824,43181359104,10.317920093017417,339510272,1617440768,9492,8.76969696969697,267,267,4,4,0,0,0,0,2.43,1.0,0.92,11,1,0,0,0,boşta,normal
11.615245009073702,5.8076225045369805,82.39564428311768,0.0,16679075840,6388514816,9850617856,38.30257070166305,4602912768,4000313344,0,4000313344,0.0,50761113600,4968243200,43181129728,10.318396477206973,340096000,1619779584,9548,1.2269503546099292,267,267,4,4,0,0,0,0,2.22,1.0,0.92,12,1,0,0,0,boşta,normal
3.036437246963069,0.8097165991902572,95.95141700405232,0.2024291497975643,16679075840,5944741888,10294243328,35.64191412658029,4603314176,4000313344,0,4000313344,0.0,50761113600,4968312832,43181060096,10.318541093835949,340096000,1620934656,9568,2.275,267,267,4,4,0,0,0,0,1.96,0.98,0.92,13,1,0,0,0,boşta,normal
10.121457489878548,3.0364372469635623,82.38866396761138,4.453441295546556,16679063552,5246468096,11031756800,31.45541162813599,3146670080,4000313344,0,4000313344,0.0,50761113600,4931031040,43218341888,10.24111164931182,299099136,25800704,13924,0.4235055724417426,267,267,4,4,0,0,0,0,2.61,0.99,0.36,12,1,0,0,0,boşta,normal
18.62348178137649,1.619433198380569,79.55465587044539,0.0,16679063552,5315837952,10968608768,31.871321404987235,3152453632,4000313344,0,4000313344,0.0,50761113600,4931063808,43218309120,10.241179704196044,301810688,28327936,14032,0.8404907975460123,267,267,4,4,0,0,0,0,2.29,0.98,0.36,12,1,0,0,0,boşta,normal
11.740890688259046,0.4048582995951501,87.44939271255055,0.4048582995951501,16679063552,5335040000,10947153920,31.98644806027057,3154636800,4000313344,0,4000313344,0.0,50761113600,4931014656,43218358272,10.24107762186971,301966336,30228480,14176,1.9230769230769231,267,267,4,4,0,0,0,0,1.93,0.94,0.36,12,1,0,0,0,boşta,normal
15.662650602409649,1.2048192771084427,83.13253012048187,0.0,16679063552,5300404224,10981814272,31.77878786464857,3155214336,4000313344,0,4000313344,0.0,50761113600,4931002368,43218370560,10.241052101288126,302121984,32645120,14276,0.9047619047619048,267,267,4,4,0,0,0,0,1.64,0.91,0.35,12,1,0,0,0,boşta,normal
8.130081300812954,0.8130081300812989,91.05691056910548,0.0,16679063552,5264261120,11023663104,31.56209042304871,3150077952,4000313344,0,4000313344,0.0,50761113600,4931014656,43218358272,10.24107762186971,302314496,33333248,14356,0.7840909090909091,267,267,4,4,0,0,0,0,1.46,0.9,0.35,12,1,0,0,0,boşta,normal
11.967545638945214,0.6085192697768624,87.22109533468542,0.0,16679063552,5077213184,11212914688,30.44063695884885,3148763136,4000313344,0,4000313344,0.0,50761113600,4931018752,43218354176,10.241086128730236,302478336,33734656,14408,0.6557377049180327,267,267,4,4,0,0,0,0,1.24,0.87,0.35,12,1,0,0,0,boşta,normal
9.475806451612865,1.008064516129045,89.31451612903226,0.2016129032258018,16679063552,5087145984,11202949120,30.500189462915,3149045760,4000313344,0,4000313344,0.0,50761113600,4931031040,43218341888,10.24111164931182,302633984,35762176,14556,1.945945945945946,267,267,4,4,0,0,0,0,1.05,0.84,0.35,12,1,0,0,0,boşta,normal
10.799999999999985,1.6000000000000014,87.19999999999999,0.1999999999999957,16679063552,5075857408,11212017664,30.43250834901549,3151933440,4000313344,0,4000313344,0.0,50761113600,4931018752,43218354176,10.241086128730236,302957568,36474880,14632,0.9767441860465116,267,267,4,4,0,0,0,0,0.89,0.81,0.34,12,1,0,0,0,boşta,normal
9.77596741344197,0.8146639511201642,87.57637474541752,1.832993890020383,16679063552,5053329408,11236769792,30.29744081402011,3150168064,4000313344,0,4000313344,0.0,50761113600,4931022848,43218350080,10.241094635590766,303129600,37052416,14748,1.7424242424242424,267,267,4,4,0,0,0,0,0.75,0.78,0.34,12,1,0,0,0,boşta,normal
14.71172962226638,1.7892644135188935,81.11332007952299,1.988071570576562,16679063552,5103071232,11187023872,30.595669931289915,3150753792,4000313344,0,4000313344,0.0,50761113600,4935221248,43214151680,10.24981416763177,303285248,37957632,14856,2.3260869565217392,267,267,4,4,0,0,0,0,0.63,0.76,0.33,12,1,0,0,0,boşta,normal
6.854838709677477,0.2016129032258018,92.9435483870969,0.0,16679063552,5151916032,11138174976,30.888520904893547,3154726912,4000313344,0,4000313344,0.0,50761113600,4935221248,43214151680,10.24981416763177,303444992,39182336,14988,2.0,267,267,4,4,0,0,0,0,0.54,0.73,0.33,12,1,0,0,0,boşta,normal
11.752988047808667,1.195219123505966,86.45418326693216,0.5976095617529741,16679063552,5017681920,11272396800,30.08371485819013,3159035904,4000313344,0,4000313344,0.0,50761113600,4935221248,43214151680,10.24981416763177,305640448,39587840,15076,0.2484848484848484,267,267,4,4,0,0,0,0,0.45,0.71,0.33,12,1,0,0,0,boşta,normal
