,cpu_user,cpu_system,cpu_idle,cpu_io,mem_total,mem_used,mem_available,mem_used_percent,mem_cached_win,swap_total,swap_used,swap_free,swap_used_percent,disk_total,disk_used,disk_free,disk_used_percent,diskio_read,diskio_write,diskio_time,diskio_ms,bytes_recv_persec,bytes_sent_persec,packets_recv_persec,packets_sent_persec,err_in_received,err_out_outbound,drop_in_received,drop_out_outbound,load1,load5,load15,process_thread_win,process_total_win,process_running_win,system_label
0,1.5600624024961,0.78003120124805,97.5039001560062,0,17097318400,5901197312,11196121088,34.51533845214,114208768,25769803776,259821568,25509982208,1,498730561536,490799443968,7931117568,98.4097390094617,38378077696,338797032448,0,0,336.853183337328,3825.97446991717,4.98303525646935,4.98303525646935,0,0,0,0,0.0120264017930622,0.463956426268404,4.43666207797945,2649,188,186,normal
1,5.46021840873635,1.87207488299532,92.5117004680187,0,17097318400,6285471744,10811846656,36.7629098139741,117608448,25769803776,259821568,25509982208,1,498730561536,490799583232,7930978304,98.4097669331564,38389058048,338799150080,0,0,45744.804618674,1905.05539040613,34.934730630586,21.9176494720556,0,0,0,0,0.0837428190727279,0.465001478748504,4.39314814789434,2694,191,188,normal
2,2.02492211838006,1.09034267912773,96.5732087227414,0,17097318400,6259118080,10838200320,36.6087706479163,116920320,25769803776,259821568,25509982208,1,498730561536,490799525888,7931035648,98.4097554351645,38389156352,338800067584,0,0,40323.9165559972,3134.8557063859,31.2005544338523,20.3003607374103,0,0,0,0,0.0708867659358854,0.449756916993495,4.34460557108598,2695,190,188,normal
3,2.02492211838006,1.09034267912773,96.5732087227414,0,17097318400,6259118080,10838200320,36.6087706479163,116920320,25769803776,259821568,25509982208,1,498730561536,490799525888,7931035648,98.4097554351645,38389156352,338800067584,0,0,40323.9165559972,3134.8557063859,31.2005544338523,20.3003607374103,0,0,0,0,0.0708867659358854,0.449756916993495,4.34460557108598,2695,190,188,normal
4,1.40625,0.9375,97.65625,0,17097318400,6259900416,10837417984,36.6133464298121,117014528,25769803776,259821568,25509982208,1,498730561536,490799525888,7931035648,98.4097554351645,38389164544,338800784384,0,0,74632.9267541477,2345.65683991415,52.2990376977064,28.9994664098181,0,0,0,0,0.0600043519013255,0.435012131419257,4.29659937085402,2692,190,188,normal
5,0.78003120124805,0.31201248049922,98.7519500780031,0,17097318400,6216429568,10880888832,36.3590910724339,117313536,25769803776,259821568,25509982208,1,498730561536,490799460352,7931101184,98.4097422946022,38389180928,338801239040,0,0,37253.2990937756,1508.70401315268,27.1000720861917,15.1000401661068,0,0,0,0,0.0507925872983774,0.4207507374137,4.2491236204461,2672,189,187,normal
6,1.5625,0.9375,97.5,0,17097318400,6215786496,10881531904,36.3553298276296,118325248,25769803776,259821568,25509982208,1,498730561536,490799394816,7931166720,98.4097291540399,38389180928,338801726464,0,0,38340.2668053361,1606.93213864277,29.2005840116802,16.3003260065201,0,0,0,0,0.0429949969079876,0.406956887516207,4.20217245859817,2667,189,187,normal
7,48.3162518301611,9.95607613469985,41.5812591508053,0,17097318400,8118747136,8978571264,47.4855000419247,267321344,25769803776,259821568,25509982208,1,498730561536,491866894336,6863667200,98.6237724877214,38390700032,339054265344,0,0,37302.5172176656,1883.29077187522,27.9998628006723,15.699923070377,0,0,0,0,2.75488438174734,0.955585823872722,4.34410525664438,2693,190,187,yüksek uyarı
8,84.3478260869565,15.3623188405797,0,0,17097318400,8565497856,8531820544,50.0984871171376,267321344,25769803776,259821568,25509982208,1,498730561536,494493536256,4237025280,99.1504380106664,38396495872,341524427776,0,0.0009572431397574,37302.5172176656,1883.29077187522,27.9998628006723,15.699923070377,0,0,0,0,9.94070324469825,2.54747080964091,4.84310635456928,2693,190,187,yüksek uyarı
9,86.40625,13.4375,0,0,17097318400,8855392256,8241926144,51.7940419007463,267321344,25769803776,259821568,25509982208,1,498730561536,496829296640,1901264896,99.6187791479743,38396938240,343991288832,0,0.0007235890014471,37302.5172176656,1883.29077187522,27.9998628006723,15.699923070377,0,0,0,0,18.2238553870897,4.57455500534105,5.50184675266531,2693,190,187,yüksek uyarı
10,86.40625,13.4375,0,0,17097318400,8855392256,8241926144,51.7940419007463,267321344,25769803776,259821568,25509982208,1,498730561536,496829296640,1901264896,99.6187791479743,38396938240,343991288832,0,0.0007235890014471,37302.5172176656,1883.29077187522,27.9998628006723,15.699923070377,0,0,0,0,18.2238553870897,4.57455500534105,5.50184675266531,2693,190,187,yüksek uyarı
11,84.8375451263538,14.6209386281588,0,0,17097318400,9079439360,8017879040,53.10446438197,6190063616,25769803776,259821568,25509982208,1,498730561536,497683398656,1047162880,99.790034347048,38443255808,346180080640,0,0.0008476970895733,97423.7422147009,3789.71779354629,69.8296723459365,43.9785069627907,0,0,0,0,20.0253158998704,5.40782704640746,5.77251111578207,2721,190,187,yüksek uyarı
12,84.5794392523364,15.1090342679128,0,0,17097318400,9363255296,7734063104,54.764467017237,6190063616,25769803776,259821568,25509982208,1,498730561536,497683398656,1047162880,99.790034347048,38443616256,348614657024,0,0.0006811989100817,97423.7422147009,3789.71779354629,69.8296723459365,43.9785069627907,0,0,0,0,22.0107741273795,6.31213287916237,6.07333357517262,2721,190,187,kritik uyarı
13,88.7740029542098,10.7828655834564,0,0,17097318400,9599909888,7497408512,56.1486290622043,6171832320,25769803776,259821568,25509982208,1,498730561536,497683464192,1047097344,99.7900474876103,38443632640,351217882112,0,0.0006738544474393,37150.2781043445,1437.47593665282,28.4995229179864,16.2997271425676,0,0,0,0,24.7340916801056,7.41491337279482,6.44802587201715,2756,191,187,kritik uyarı
